,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,W,Season
0,GSW,2373,498,2972,7159,0.487,3489,1790,0.763,1366,82,19880,Golden State Warriors,816,1823,336,2662,7330,0.435,3188,2013,0.757,1523,937,1627,8539,710,1928,0.332,640,3599,1185,5402,0.472,2548,1701,9421,1,689,2592,0.416,1077,3788,1245,4567,0.528,2412,73,2015-2016
1,OKC,1883,487,2916,7082,0.476,3372,2067,0.782,1616,82,19830,Oklahoma City Thunder,1071,1767,373,2373,7192,0.438,3150,1950,0.756,1474,923,1653,8441,719,1949,0.342,667,3296,1068,5243,0.474,2483,1691,9038,2,603,1945,0.349,678,3987,1305,5137,0.524,2694,55,2015-2016
2,SAC,2009,368,2760,7083,0.464,3283,2089,0.725,1514,82,19805,Sacramento Kings,868,1986,437,2765,7194,0.462,3327,1902,0.762,1450,926,1800,8943,722,2293,0.366,839,3691,1308,4901,0.508,2488,1676,8740,3,733,1839,0.359,660,3628,1326,5244,0.5,2623,33,2015-2016
3,HOU,1821,430,2601,6847,0.452,3094,2407,0.694,1671,82,19830,Houston Rockets,930,2015,404,2690,6977,0.459,3200,2018,0.756,1525,970,1847,8721,734,2206,0.361,796,3660,1360,4771,0.504,2404,1790,8737,4,821,2533,0.347,878,3531,1307,4314,0.514,2216,41,2015-2016
4,BOS,1981,348,2733,7318,0.439,3216,1929,0.788,1520,82,19780,Boston Celtics,950,1715,450,2838,6973,0.441,3075,2136,0.755,1613,932,1718,8406,622,1912,0.336,643,3770,1348,5061,0.481,2432,1796,8669,5,752,2142,0.335,717,3683,1127,5176,0.483,2499,48,2015-2016
5,POR,1748,380,2782,7040,0.45,3167,1889,0.754,1424,82,19805,Portland Trail Blazers,948,1770,424,2716,6945,0.453,3146,2129,0.734,1562,867,1597,8554,630,1888,0.371,700,3583,1088,5057,0.484,2446,1782,8622,6,562,2336,0.37,864,3730,1200,4704,0.49,2303,44,2015-2016
6,LAC,1873,460,2727,6759,0.465,3141,2152,0.692,1490,82,19830,Los Angeles Clippers,721,1740,259,2861,6946,0.434,3015,2055,0.751,1543,968,1842,8218,583,1909,0.338,645,3829,1260,5037,0.471,2370,1746,8569,7,709,2190,0.364,797,3448,1063,4569,0.513,2344,53,2015-2016
7,CLE,1861,317,2777,6888,0.46,3171,1783,0.748,1333,82,19855,Cleveland Cavaliers,873,1756,362,2604,6736,0.448,3019,1855,0.743,1378,760,1690,8063,590,1862,0.347,647,3364,1092,4874,0.487,2372,1666,8555,8,551,2428,0.362,880,3650,1114,4460,0.514,2291,57,2015-2016
8,WAS,2005,323,2688,7033,0.46,3238,1849,0.73,1349,82,19755,Washington Wizards,743,1846,356,2858,6868,0.462,3170,1947,0.769,1498,773,1651,8575,661,1987,0.371,737,3631,1325,4881,0.498,2433,1708,8534,9,708,1983,0.358,709,3431,1186,5050,0.501,2529,41,2015-2016
9,SAS,2010,485,2831,6797,0.484,3289,1672,0.803,1342,82,19705,San Antonio Spurs,770,1707,317,2576,6709,0.436,2928,1611,0.758,1221,747,1597,7618,592,1634,0.331,541,3323,1214,5075,0.47,2387,1433,8490,10,677,1518,0.375,570,3601,1071,5279,0.515,2719,67,2015-2016
