,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,W,Season
0,GSW,2491,555,2873,7140,0.495,3532,1850,0.788,1457,82,19780,Golden State Warriors,770,1862,313,2604,7311,0.435,3181,1905,0.761,1450,963,1588,8549,705,2277,0.324,737,3567,1272,5034,0.485,2444,1585,9503,1,785,2562,0.383,982,3643,1211,4578,0.557,2550,67,2016-2017
1,HOU,2070,352,2746,7152,0.462,3305,2177,0.766,1667,82,19780,Houston Rockets,892,1979,409,2735,7286,0.463,3375,1819,0.778,1415,878,1674,8985,697,2389,0.343,820,3613,1235,4897,0.522,2555,1634,9458,2,670,3306,0.357,1181,3638,1240,3846,0.552,2124,55,2016-2017
2,DEN,2077,323,2837,7194,0.469,3377,1986,0.774,1537,82,19755,Denver Nuggets,966,1972,404,2576,7248,0.477,3454,1794,0.782,1403,770,1653,9119,681,2153,0.375,808,3346,982,5095,0.519,2646,1567,9161,3,568,2365,0.368,870,3803,1226,4829,0.519,2507,40,2016-2017
3,CLE,1858,327,2821,6963,0.47,3275,1913,0.748,1431,82,19880,Cleveland Cavaliers,766,2024,349,2724,7284,0.458,3333,1644,0.773,1271,902,1690,8787,598,2353,0.361,850,3626,1033,4931,0.504,2483,1486,9048,4,539,2779,0.384,1067,3587,1121,4184,0.528,2208,51,2016-2017
4,WAS,1956,336,2671,7137,0.475,3388,1812,0.784,1421,82,19855,Washington Wizards,843,1870,377,2661,6978,0.466,3253,1982,0.751,1489,868,1621,8805,606,2224,0.364,810,3529,1257,4754,0.514,2443,1745,8953,5,693,2030,0.372,756,3514,1162,5107,0.515,2632,49,2016-2017
5,LAC,1848,347,2790,6820,0.475,3242,2128,0.745,1586,82,19755,Los Angeles Clippers,738,1891,258,2700,6999,0.452,3163,1917,0.772,1480,837,1835,8559,577,2154,0.35,753,3537,1084,4845,0.497,2410,1626,8911,6,612,2245,0.375,841,3528,1062,4575,0.525,2401,51,2016-2017
6,BOS,2069,340,2698,6978,0.454,3168,1903,0.807,1536,82,19755,Boston Celtics,744,1851,425,2769,7035,0.45,3168,2042,0.769,1570,883,1664,8641,623,2213,0.332,735,3652,1141,4822,0.505,2433,1686,8857,7,617,2742,0.359,985,3442,1088,4236,0.515,2183,53,2016-2017
7,POR,1733,408,2750,7059,0.459,3243,1940,0.78,1513,82,19930,Portland Trail Blazers,830,1688,431,2778,7069,0.455,3213,2173,0.785,1706,830,1624,8894,633,2058,0.37,762,3608,1052,5011,0.489,2451,1736,8851,8,574,2272,0.375,852,3580,1126,4787,0.499,2391,41,2016-2017
8,PHO,1604,399,2712,7260,0.45,3270,2159,0.776,1676,82,19830,Phoenix Suns,976,1818,435,2772,7070,0.467,3300,2387,0.783,1868,840,1822,9293,663,2159,0.382,825,3612,1222,4911,0.504,2475,2030,8831,9,673,1854,0.332,615,3688,1265,5406,0.491,2655,24,2016-2017
9,TOR,1517,400,2676,6918,0.464,3211,2028,0.796,1615,82,19780,Toronto Raptors,871,1786,392,2619,6801,0.449,3052,1948,0.78,1519,831,1666,8417,547,2240,0.354,794,3450,1200,4561,0.495,2258,1708,8762,10,677,1996,0.363,725,3547,1041,4922,0.505,2486,51,2016-2017
10,OKC,1721,408,2821,7169,0.452,3237,2113,0.745,1575,82,19805,Oklahoma City Thunder,1002,1758,450,2583,6998,0.459,3215,1996,0.764,1525,750,1697,8679,698,2036,0.356,724,3333,1129,4962,0.502,2491,1715,8741,11,648,2116,0.327,692,3823,1230,5053,0.504,2545,47,2016-2017
11,BRK,1756,387,2879,6987,0.444,3102,2020,0.788,1592,82,19755,Brooklyn Nets,721,1888,457,2965,7449,0.458,3414,2049,0.772,1581,902,1671,9225,780,2232,0.366,816,3867,1092,5217,0.498,2598,1726,8673,12,593,2591,0.338,877,3600,1356,4396,0.506,2225,20,2016-2017
12,MIN,1940,370,2540,6922,0.467,3235,1986,0.799,1586,82,19805,Minnesota Timberwolves,938,1896,413,2508,6829,0.475,3246,1881,0.768,1445,806,1681,8748,629,2213,0.366,811,3314,1169,4616,0.528,2435,1646,8657,13,654,1723,0.349,601,3478,1150,5199,0.507,2634,31,2016-2017
13,SAS,1954,484,2777,6864,0.469,3222,1806,0.797,1440,82,19805,San Antonio Spurs,821,1757,333,2600,6839,0.443,3032,1705,0.771,1315,800,1623,8047,614,1942,0.344,668,3400,1184,4897,0.483,2364,1498,8637,14,655,1927,0.391,753,3598,1101,4937,0.5,2469,61,2016-2017
14,IND,1844,409,2702,6931,0.465,3221,1811,0.81,1467,82,19855,Indiana Pacers,742,1832,407,2751,6909,0.451,3115,1974,0.789,1557,879,1599,8636,661,2389,0.355,849,3630,1225,4520,0.501,2266,1597,8618,15,669,1885,0.376,709,3444,1130,5046,0.498,2512,42,2016-2017
